title,region,publisher,productId,upc,releaseDate,rating
007: Everything or Nothing,US,EA Games,AGB-BJBE-USA,014633147179,11/17/03,T
007: NightFire,US,Electronic Arts,AGB-A7OE-USA,014633146226,03/18/03,T
12 Volt,US,,,,Canceled,
2 Disney Games: Disney Sports Skateboarding + Disney Sports Football,EU,Buena Vista Games,,,12/22/05,3+
2 Disney Games: Disney's Lilo & Stitch 2 + Disney's Peter Pan: Return to Neverland,EU,Disney Interactive,AGB-BLQP-EUR,8717418072551,09/15/05,3+
2 Games In 1 Double Pack - Hot Wheels: World Race / Velocity X,US,THQ,AGB-BHZE-USA,785138322025,09/22/05,E
2 Games In 1 Double Pack - SpongeBob SquarePants: SuperSponge / SpongeBob SquarePants: Revenge of the Flying Dutchman,US,THQ,AGB-BDFE-USA,785138321776,03/08/05,E
"2 Games In 1 Double Pack: Finding Nemo / Monsters, Inc.",US,THQ,AGB-BDZE-USA,785138321912,06/08/05,E
2 Games In 1 Double Pack: Power Rangers: Time Force / Power Rangers: Ninja Storm,US,THQ,AGB-BRZE-USA,785138321752,03/22/05,E
2 Games In 1 Double Value!: Monster Trucks / Quad Desert Fury,US,Majesco,AGB-BWQE-USA,096427014355,04/25/05,E
2 Games In 1: Disney Princess + Disney's The Lion King,EU,THQ,AGB-BLPP-EUR,,12/01/04,3+
2 Games In 1: Disney's Baren Bruder + Disney's Konig der Lowen,EU,THQ,AGB-BLBX-EUU,,01/18/05,3+
2 Games In 1: Disney's Brother Bear / Disney Princess,EU,THQ,AGB-BWBP-EUR,,05/11/05,3+
2 Games In 1: Finding Nemo / The Incredibles,EU,THQ,AGB-BINP-EUR,4005209069373,2007,3+
2 Games In 1: LEGO Knights' Kingdom + LEGO Bionicle,EU,THQ,AGB-BL5P-EUR,,05/31/05,3+
2 Games In 1: Sonic Pinball Party + Sonic Battle,EU,Sega,AGB-BW6P-EUR,,11/11/05,7+
2 Games In 1: Sonic Pinball Party / Columns Crown,EU,Sega,AGB-BW8P-EUR,,03/24/06,3+
2 Games In 1: SpongeBob SquarePants: SuperSponge / Rugrats Go Wild,EU,THQ,AGB-BDFP-EUR,,03/04/05,3+
2 Games In 1: The SpongeBob SquarePants Movie / SpongeBob SquarePants and Friends in Freeze Frame Frenzy,EU,THQ,AGB-B2BP-EUR,,10/21/05,3+
2 Games in 1 Double Pack - SpongeBob SquarePants: Battle for Bikini Bottom & Nicktoons: Freeze Frame Frenzy,US,THQ,AGB-BU2E-USA,785138322032,2004,E
2 Games in 1 Double Pack: Scooby-Doo / Scooby-Doo 2: Monsters Unleashed,US,THQ,AGB-BPUE-USA,785138322087,08/21/06,E
2 Games in 1 Double Pack: Scooby-Doo and the Cyber Chase / Scooby-Doo! Mystery Mayhem,US,THQ,AGB-BCVE-USA,785138321769,03/08/05,E
2 Games in 1 Double Pack: SpongeBob SquarePants / Fairly OddParents,US,THQ,AGB-BX6E-USA,785138321929,06/01/05,E
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,US,THQ,AGB-BNEE-USA,785138322520,02/27/07,E
2 Games in 1: Columns Crown / ChuChu Rocket!,EU,Sega,AGB-BW9P-EUR,,11/28/08,3+
2 Games in 1: Finding Nemo / Finding Nemo: The Continuing Adventures,EU,THQ,AGB-BFWP-EUR,4005209069311,10/21/05,3+
2 Games in 1: GT Advance 3: Pro Concept Racing + MotoGP,EU,THQ,AGB-BARP-EUR,,10/22/04,3+
2 Games in 1: Lizzie McGuire + Disney Princess,EU,THQ,11/04/2004,,11/04/04,3+
2 Games in 1: Sonic Advance + ChuChu Rocket!,EU,THQ,AGB-BW3P-EUR,4005209070836,11/11/05,3+
2 Games in 1: Sonic Advance + Sonic Battle,EU,THQ,AGB-BW4P-EUR,4005209070881,11/16/05,7+
2 Games in 1: Sonic Battle + ChuChu Rocket!,EU,THQ,,,09/30/05,7+
2 Games in 1: SpongeBob SquarePants SuperSponge + SpongeBob SquarePants Battle for Bikini Bottom,EU,THQ,,,10/21/04,3+
2 Games in 1: SpongeBob SquarePants: Battle for Bikini Bottom / Jimmy Neutron Boy Genius,EU,THQ,AGB-BBJP-EUR,,06/30/05,3+
