title,region,publisher,productId,upc,releaseDate,rating
'89 Dennou Kyuusei Uranai,JP,Jingukan Polaris,IPC-J1-01,4988689000015,12/10/88,
10-Yard Fight,US,Nintendo,NES-TY-USA,045496630270,October 1985,
1942,US,Capcom,NES-NF-USA,,November 1986,
1943: The Battle of Midway,US,Capcom,NES-43-USA,013388110100,October 1988,
1991 Du Ma Racing,AS,Micro Genius,,Other,1991,
"1999 Hore, Mitakotoka! Seikimatsu",JP,Coconuts Japan,CDS-CS,4953507920615,09/18/92,
2 in 1 Cosmocop / Cyber Monster,AS,Sachen,None,,1993,
2 in 1 Geminim/Siamond,US,RetroZone,SIV-M1-GBL,Other,06/25/08,
2 in 1 Tough Cop / Super Tough Cop,AS,Sachen,None,,1993,
3 in 1 Supergun,AS,Micro Genius,MGC-024,Other,1993,
3-D WorldRunner,US,Acclaim,NES-WO-USA,021481102014,September 1987,
3D Block,AS,RCM,None,Other,1990,
4 Nin uchi Mahjong,JP,Nintendo,HVC-FJ,4902370832020,11/02/84,
6 in 1,US,Myriad,CN-11,,1992,
720 Degrees,US,Mindscape,NES-72-USA,050047103158,November 1989,
8 Eyes,US,Taxan,NES-8E-USA,,January 1990,
8-Bit Xmas 2009,US,RetroZone,RET-X9-GBL,Other,2010,
8Bit Rhythm Land,JP,Columbus Circle,,,02/21/19,
A Nightmare on Elm Street,US,LJN Ltd.,NES-ES-USA,023582051598,October 1990,
A-Ressha de Ikou,JP,Pony Canyon,PHF-IX,4988013023499,08/21/91,
AV Dragon Mahjang,AS,Hacker International,,,1991,
AV Hanafuda Club,AS,Hacker International,,,1991,
AV Pachi Slot,AS,Hacker International,,,1991,
Aa Yakyuu Jinsei Icchokusen,JP,Sammy Studios,SAC-YA,4991694006019,12/25/92,
Abadox: The Deadly Inner War,US,Milton Bradley,NES-A3-USA,032244040887,March 1990,
Action 52,US,Active Enterprises,n/a,730669188800,1991,
Adan y Eva,EU,Gluk,CN-11,8414501014466,1991,
Advanced Dungeons & Dragons: DragonStrike,US,Pony Canyon,NES-DS-USA,,July 1992,
Advanced Dungeons & Dragons: Dragons of Flame,JP,Pony Canyon,PNF-OF,4988013025196,02/21/92,
Advanced Dungeons & Dragons: Heroes of the Lance,US,"FCI, Inc.",NES-LQ-USA,,January 1991,
Advanced Dungeons & Dragons: Hillsfar,US,"FCI, Inc.",NES-QQ-USA,,February 1993,
Advanced Dungeons & Dragons: Pool of Radiance,US,"FCI, Inc.",NES-QA-USA,022909100131,April 1992,
Adventure Island,US,Hudson,NES-TB-USA,039854000010,September 1988,
Adventure Island 3,US,Hudson,NES-AT-USA,,September 1992,
Adventure Island II,US,Hudson,NES-V7-USA,039854000102,February 1991,
Adventures of Dino Riki,US,Hudson Soft,NES-SG-USA,039854000058,September 1989,
Adventures of Lolo,US,HAL Labs,NES-AV-USA,040458011050,April 1989,
Adventures of Lolo 2,US,HAL Labs,NES-A4-USA,,March 1990,
Adventures of Lolo 3,US,HAL Labs,NES-QL-USA,040458033120,September 1991,
Adventures of Tom Sawyer,US,Seta Corporation,NES-YB-USA,,August 1989,
After Burner,US,Tengen,,,December 1989,
After Burner II,JP,SunSoft,SS136200,4907940100264,03/30/89,
Ai Sensei no Oshiete: Watashi no Hoshi,JP,Irem,IF-27,4962891100275,03/26/93,
Aigina no Yogen: Balubalouk no Densetsu Yori,JP,Vic Tokai,VIC-AY,4966550186013,11/21/86,
Air Fortress,US,HAL Labs,NES-A1-USA,040458036077,September 1989,
Airball,US,Tengen,,,Canceled,
Airwolf,US,Acclaim,NES-AF-USA,,June 1989,
Airwolf (Japan),JP,Kyugo Boueki,KYG-AX,4959044001008,12/24/88,
Akagawa Jirou no Yuurei Ressha,JP,King Records,KIN-YU,4988003094478,02/08/91,
Akira,JP,Taito Corporation,21 TFC- AK-6800,4988611880098,12/24/88,
Akuma-kun: Makai no Wana,JP,Bandai,,4902425290188,02/24/90,
Akumajou Special: Boku Dracula-kun,JP,Konami,RC847,4988602558296,10/19/90,
Al Unser Jr.'s Turbo Racing,US,Data East,NES-44-USA,,March 1990,
Aladdin,AS,JY Company,,,1995,
Alex DeMeo's Race America,US,Absolute Entertainment,NES-6A-USA,,May 1992,
Alfred Chicken,US,Mindscape,NES-AC-USA,,February 1994,
Alien 3,US,LJN Ltd.,NES-X3-USA,023582051895,March 1993,
Alien Syndrome,US,Tengen,,031763101123,December 1989,
All-Pro Basketball,US,Vic Tokai,NES-A2-USA,,December 1989,
Alpha Mission,US,SNK,NES-AM-USA,018484145001,October 1987,
Amagon,US,Sammy Studios,NES-M5-USA,039471885021,April 1989,
America Daitouryou Senkyo: United State Presidential Race,JP,Hect,HCT-AQ,4961508881026,10/28/88,
America Oudan Ultra Quiz: Shijou Saidai no Tatakai,JP,Tomy Corporation,TOM-1U,4904810778608,11/29/91,
American Dream,JP,Coconuts Japan,CDS-A7,4953507890710,09/23/89,
American Gladiators,US,GameTek,NES-3A-USA,043948511009,October 1991,
Ankoku Shinwa: Yamato Takeru Densetsu,JP,Tokyo Shoseki,TKS-G6,4961355677049,03/24/89,
Antarctic Adventure,US,Konami,,,Canceled,
Anticipation,US,Nintendo,NES-AP-USA,045496630461,November 1988,
Aoki Ookami to Shiroki Mejika: Genchou Hishi,JP,Koei,KOE-GG,4988615004148,03/25/93,
Arch Rivals: A Basket Brawl!,US,Acclaim,NES-Q4-USA,,November 1990,
Archon,US,Activision,NES-ON-USA,047875700109,December 1989,
Arctic,JP,Pony Canyon,PNF-A9,4988013017993,02/23/90,
Arctic Adventure: Penguin & Seal,AU,HES Interactive,,,1990,
Argus,JP,Jaleco Entertainment,JF-07,4907859101079,04/17/86,
Arkanoid,US,Taito Corporation,NES-AR-USA,,August 1987,
Arkanoid II,JP,Taito Corporation,TFC-ANII-5900,4988611870259,03/08/88,
Arkista's Ring,US,American Sammy,NES-A5,,June 1990,
Armadillo,US,IGS (Japan),,,Canceled,
Armed For Battle,US,Infinite NES Lives,,,07/01/14,
Artelius,JP,Nihon Bussan,NBF-AU,4960641000066,11/13/87,
Asmik-Kun Land,JP,"Asmik Ace Entertainment, Inc",ASM-YI,4988126400101,12/20/91,
Asterix the Gaul,US,Electro Brain,,,Canceled,
Astro Fang: Super Machine,JP,A-Wave,WAV-E1-01,4988002203598,10/26/90,
Astro Robo Sasa,JP,ASCII Entertainment,HSP-01,4988107210125,08/09/85,
Astyanax,US,Jaleco Entertainment,NES-YX-USA,,March 1990,
Athena,US,SNK,NES-AN-USA,018484135002,August 1987,
Athletic World,US,Bandai,NES-AW-USA-1,,July 1987,
Attack Animal Gakuen,JP,Pony Canyon,PNF-AA,4988013012394,12/26/87,
Attack of the Killer Tomatoes,US,THQ,NES-47-USA,,January 1992,
Aussie Rules Footy,AU,Laser Beam Entertainment,NES-28-AUS,,1991,
Auto-Upturn,AS,Sachen,TC-017,,1991,
B-Wings,JP,Data East,DFC-BW,4961082610012,06/03/86,
Babel no Tou,JP,Namco,NBL-3900-16,4907892000162,07/18/86,
Baby Boomer,US,Color Dreams,,096962710019,1989,
Back to the Future,US,LJN Ltd.,NES-FU,,September 1989,
Back to the Future II & III,US,LJN Ltd.,NES-L3,,September 1990,
Bad Dudes,US,Data East,NES-DU,,July 1990,
Bad News Baseball,US,Tecmo,NES-3B,,June 1990,
Bad Street Brawler,US,Mattel,NES-BV,,September 1989,
Baken Hisshou Gaku: Gate In,JP,K Amusement Leasing,KAC-3F,4988622110009,05/25/90,
Bakushou! Star Monomane Shitenou,JP,Pack-In-Video,PAC-8M,4988110900112,09/14/90,
