title,region,publisher,productId,upc,releaseDate,rating
'70s Robot Anime: Geppy-X,JP,Aroma,SLPS-01995 - SLPS-01998,4995515992130,05/27/99,
'98 Koushien,JP,Magical Company (Mahou),SLPS-01204,4990951977024,06/18/98,
'99 Koushien,JP,Magical Company (Mahou),SLPS-02110,4990951997039,06/17/99,
...Iru!,JP,Takara,SLPS-00965,4904880133970,03/26/98,
0-Kara no Shogi: Shogi Youchien - Ayumi Gumi R,US,GungHo,NPUF-30041,PSOne Classics,05/07/13,
007 Racing,US,Electronic Arts,SLUS-01300,014633142518,11/20/00,T
007: The World is not Enough,US,Electronic Arts,SLUS-01272,014633141856,11/07/00,T
007: Tomorrow Never Dies,US,Electronic Arts,SLUS-00975,014633097498,11/16/99,T
100 Manyen Quiz Hunter,JP,FPS,SLPS-01730,4948196980828,12/23/98,
"10101: ""Will"" the Starship",JP,Sound Technology,SLPS-01054,4518885010022,11/06/97,
16 Tales: Vol. 1,US,Lightspan,LSP-990121,Other,1996,
16 Tales: Vol. 2,US,Lightspan,,Other,1996,
16 Tales: Vol. 3,US,Lightspan,,Other,1996,
16 Tales: Vol. 4,US,Lightspan,,Other,1996,
19:03 Ueno Hatsu Yakou Ressha,JP,Visit,SLPS-01865,4939915000194,03/04/99,
2 Xtreme,US,SCEA,SCUS-94508,711719450825,10/31/96,K-A
2002 FIFA World Cup,US,EA Sports,SLUS-01449,014633144826,04/30/02,E
2999 Game Kids,JP,SCEI,SCPS-19004,4948872190046,12/23/98,
360: Three Sixty,EU,Cryo Interactive,SLES-02089,3554540890012,July 1999,
3D Baseball,US,Crystal Dynamics,SLUS-00066,765979711707,10/31/96,K-A
3D Lemmings (Long Box),US,Psygnosis,SCUS-94601,711719460121,November 1995,K-A
3D Shooting Tsukuru,JP,ASCII Entertainment,SLPS-00654,4988606101108,12/20/96,
3Xtreme,US,989 Sports,SCUS-94231,711719423126,03/31/99,E
3x3 Eyes: Kyuusei Koushu,JP,Xing Entertainment,SLPS-00071 - SLPS-00072,4948536190009,08/11/95,
3x3 Eyes: Tenrinou Genmu,JP,King Records,SLPS-01497~9,4988003217112,08/06/98,
4-4-2 Soccer,EU,Virgin Interactive,SLES-00095,5028587080487,August 1997,
40 Winks,US,GT Interactive,SLUS-00874,742725198159,11/14/99,E
5 Star Racing,EU,Phoenix Games,SLES-04064,8717249591092,11/15/03,3+
A Bug's Life Activity Centre,EU,SCEE,SCES-02014,711719883425,12/01/99,
A Collection of Activision Classic Games for the Atari 2600,US,Activision,SLUS-00777,047875103818,09/30/98,E
A Mars Moose Adventure - Cosmic Quest 1: City Sights,US,Lightspan,,Other,1998,
A Mars Moose Adventure - Cosmic Quest 2: Fairy Tale Island,US,Lightspan,,Other,1998,
A Mars Moose Adventure - Cosmic Quest 3: Race Through France,US,Lightspan,,Other,1998,
A Mars Moose Adventure - Stay & Play 1: In the Clubhouse,US,Lightspan,,Other,1998,
A Mars Moose Adventure - Stay & Play 2: In Mars' Bedroom,US,Lightspan,,Other,1998,
A Mars Moose Adventure - Stay & Play 3: In Lonnie's Classroom,US,Lightspan,,Other,1998,
A Mars Moose Adventure - Walkabout 1: The Natural History Museum,US,Lightspan,,Other,1998,
A Mars Moose Adventure - Walkabout 2: The Shakespeare Festival,US,Lightspan,,Other,1998,
A Mars Moose Adventure - Walkabout 3: World Sports Day,US,Lightspan,,Other,1998,
A Nanjarin,JP,To One,SLPS-01424,4539033000016,06/11/98,
A-Ressha de Ikou Z: Mezase! Tairiku Oudan,JP,Artdink,SLPS-02050,4988640100358,05/04/99,
A-Train: Trains - Power - Money (Long Box),US,Maxis,SLUS-00003,688267009266,1996,K-A
A. IV Evolution: A-Ressha de Ikou 4,JP,Artdink,SLPS-00004,4988640100044,12/03/94,
A2 Racer III: Europa Tour,EU,Davilex,SLES-02695,,2002,
A5: A-Ressha de Ikou 5,JP,Artdink,SLPS-01120,4988640100198,12/04/97,
AFL 99,EU,EA Sports,SLES-01875,5030941018951,June 1999,
AI Mahjong 2000,JP,i4,SLPS-02411,4988722505491,11/25/99,
AI Mahjong Selection (MajorWave 1500),JP,Hamster,SLPM-87117,4529651000826,07/25/02,
AI Shogi,JP,Soft Bank,SLPS-00109,4512557600122,11/22/95,
AI Shogi 2,JP,GameBank,SLPS-01159,4512537600344,12/25/97,
AI Shogi 2 Deluxe,JP,i4,SLPS-02285,4988722505309,09/22/99,
AI Shogi Selection (Major Wave 1500),JP,Hamster,SLPM-87068,4529651000826,05/23/02,
ASCII Entertainment Demo Disc,US,ASCII Entertainment,SLUS-90010,,1997,
ATV Mania,US,Gotham Games,SLUS-01545,710425232282,07/23/03,E
ATV Racers,US,Mud Duck Productions,SLUS-01572,093155123908,December 2003,E
ATV: Quad Power Racing,US,Acclaim,SLUS-01137,021481212003,08/29/00,E
AbalaBurn,JP,Takara,SLPS-01280,4904880137190,08/20/98,
Ace Combat 2,US,Namco,SLUS-00404,722674020688,07/31/97,E
Ace Combat 3: Electrosphere,US,Namco,SLUS-00972,722674020909,03/02/00,E
Aces of the Air,US,Agetec,SLUS-01470,093992074302,09/26/02,E
Acid,JP,Taki,SLPS-02119,4535838000022,07/08/99,
Aconcagua,JP,SCEI,SCPS-10131~2,4948872101318,06/01/00,
Action Bass,US,Take-Two Interactive,SLUS-01248,710425230509,07/14/00,E
Action Man: Destruction X,EU,3DO,SLES-03083,790561515524,November 2000,
Action Man: Operation Extreme,US,Hasbro Interactive,SLUS-00887,608610992144,11/08/00,T
Actua Golf 3,EU,Gremlin Interactive,SLES-01042,5013658087007,1999,
Actua Ice Hockey,EU,Gremlin Interactive,SLES-00188,5013658085737,February 1998,
Actua Ice Hockey 2,EU,Gremlin Interactive,SLES-01226,5013658087601,04/01/99,
Actua Soccer 2,EU,Gremlin Interactive,SLES-00021,5013658085706,November 1997,
Actua Soccer 3,EU,Gremlin Interactive,SLES-01210,5013658087069,December 1998,
Actua Soccer: Club Edition,EU,Gremlin Interactive,SLES-00190,5013658085423,May 1997,
Actua Tennis,EU,Gremlin Interactive,SLES-00265,5013658086581,1998,
Ad Lib Ouji ...to Fuyukai na Nakama-tachi!?,JP,Nippon Telenet,SLPS-03510,4988624900387,12/19/02,
Addie no Okurimono: To Moze from Addie,JP,SCEI,SCPS-10126,4948872101264,02/03/00,
Adiboo & Paziral's Secret,EU,Coktel Vision,SLES-04108,3348542178885,10/24/03,3+
Adibou Et L'Ombre Verte,EU,SCEE,SCES-03558,7117192832258,10/02/01,
Adidas Power Soccer,US,Psygnosis,SCUS-94502,,08/31/96,K-A
Adidas Power Soccer 2,EU,Psygnosis,SLES-00857,711719673620,1997,3+
Adidas Power Soccer 98,US,Psygnosis,SLUS-00547,735009401724,06/30/98,E
Adidas Power Soccer International '97,EU,Psygnosis,SLES-00270,711719652427,April 1997,
Advan Racing,JP,Atlus,SLPS-01689,4984995110233,11/19/98,
Advanced Dungeons & Dragons: Iron & Blood: Warriors of Ravenloft,US,Acclaim,SLUS-00378,021481210771,10/31/96,T
Advanced V.G.,JP,TGL,SLPS-00208,4935066600016,04/19/96,
Advanced V.G. 2,JP,TGL,SLPS-01318,4935066600061,09/23/98,
Aeon Flux,US,Viacom New Media,,,Canceled,
Afraid Gear,JP,"Asmik Ace Entertainment, Inc",SLPS-00995,4988126510169,10/29/98,
Afraid Gear Another,JP,Office Create,SLPM-86834,4948799010014,06/14/01,
Afro Inu: The Puzzle (Simple Characters 2000 Series Vol. 02),JP,Bandai,SLPS-03307,4543112033949,10/25/01,
Agent Armstrong,EU,Virgin Interactive,SLES-00474,5028587009549,October 1997,
Agile Warrior F-111X,US,Virgin Interactive,SLUS-00023,,11/21/95,T
Ainori,JP,Tecmo,,,Canceled,
Air Combat (Long Box),US,Namco,SLUS-00001,722674020503,06/29/95,K-A
Air Hockey,US,Mud Duck Productions,SLUS-01467,093155122208,September 2003,E
Air Management '96,JP,Koei,SLPS-00269,4988615007804,03/22/96,
Air Race Championship,JP,Xing Entertainment,SLPS-01879,4948536190320,03/04/99,
AirGrave,JP,Santos,SLPS-00559,4512168010020,11/29/96,
Aironauts,EU,Red Storm Entertainment,SLES-02137,5037347500011,August 1999,
Aishiau Kotoshika Dekinai,JP,Coconuts Japan,SLPS-01096,4953507971174,02/11/98,
Aitakute...Your Smiles in My Heart,JP,Konami,SLPM-86254~7,4988602438949,03/16/00,
Akagawa Jirou: Majotachi no Nemuri: Fukkatsusai,JP,Victor Interactive Software,SLPS-01863,4988110400179,04/15/99,
Akagawa Jirou: Yasoukyoku,JP,Victor Interactive Software,SLPS-01462,4988110400162,07/16/98,
Akagawa Jirou: Yasoukyoku 2,JP,Victor Interactive Software,SLPS-03213,4988110020858,06/14/01,
Akagi: Touhaiden,JP,Micronet,SLPS-00187,4957227702001,01/13/96,
Akazu no Ma,JP,Visit,SLPS-00619,493991500032,05/09/97,
Akuji the Heartless,US,Eidos Interactive,SLUS-00715,788687302630,12/31/98,T
Alex Ferguson's Player Manager 2001 (UK),EU,3DO,SLES-03150,790561515128,11/24/00,
Alexandra Ledermann: Equitation Passion,EU,Midas Interactive Entertainment,,,2000,
Alexi Lalas International Soccer,US,Take-Two Interactive,SLUS-00872,710425230387,04/30/99,E
Alfred Chicken,EU,SCEE,SCES-03817,711719353027,04/12/02,
Alice in Cyberland,JP,Glams,SLPS-00636,4934878080139,12/20/96,
Alien Resurrection,US,Fox Interactive,SLUS-00633,086162046087,10/10/00,M
Alien Trilogy,US,Acclaim,SLUS-00007,,February 1996,M
Alien Virus,US,Vic Tokai,SLUS-00015,034912779013,Canceled,K-A
Alive,JP,General Entertainment,SLPS-01527 - SLPS-01529,4995492212054,08/06/98,
All Star Action,EU,Phoenix Games,SLES-04107 SLES-14107,8717249592594,2003,3+
All Star Racing,US,Mud Duck Productions,SLUS-01460,093155122109,10/06/02,E
All Star Racing 2,US,Mud Duck Productions,SLUS-01510,093155122307,04/24/03,E
All Star Soccer,EU,Eidos Interactive,SLES-00747,5032921002103,August 1997,
All Star Tennis '99,EU,Ubisoft,SLES-01433,3362932803294,November 1998,
All Star Tennis Yannick Noah 2000,EU,Ubisoft,SLES-02765,,08/18/00,
All Star Watersports,EU,Phoenix Games,SLES-04060,8717249591542,03/14/03,
All-Star Baseball '97 Featuring Frank Thomas,US,Acclaim,SLUS-00392,,06/30/97,K-A
All-Star Mahjong: Kareinaru Shoubushi Kara no Chousen,JP,Pony Canyon,SLPS-00993,4988013041196,09/18/97,
All-Star Slammin' D-Ball,US,Agetec,SLUS-01431,093992074104,October 2001,E
Allied General,US,SSI,SLUS-00303,016685082293,09/30/96,K-A
Alnam no Kiba: Juuzoku Juuni Shinto Densetsu,JP,Right Stuff,SLPS-00173,4994615595050,02/02/96,
Alnam no Tsubasa: Shoujin no Sora no Kanata e,JP,Right Stuff,SLPS-01187~9,4994615596040,12/25/97,
Alone in the Dark: One-Eyed Jack's Revenge,US,Kokopeli Digital Studios,SLUS-00239,752919470022,August 1996,T
Alone in the Dark: The New Nightmare,US,Infogrames,SLUS-01201 SLUS-01377,020295140359,06/18/01,M
Alundra,US,Working Designs,SLUS-00553,735366005535,01/08/98,T
Alundra 2: A New Legend Begins,US,Activision,SLUS-01017,047875122000,02/29/00,T
America Oudan Ultra-Quiz,JP,Victor Interactive Software,SLPS-00241,4988002324637,02/23/96,
American Deer Hunter,US,Interplay,,,Canceled,T
American Pool,US,Mud Duck Productions,SLUS-01488,093155122703,05/06/03,E
Amerzone: The Explorer's Legacy,EU,Microids,SLES-02347/12347,3342181586544,12/13/99,
Anastasia (Pocket Price),EU,Midas Interactive Entertainment,SLES-02961,8713399007691,04/06/01,
Ancient Roman: Power of Dark Side,JP,Nihon Systems,SLPS-01108 - SLPS-01109,4514301000028,04/23/98,
Andretti Racing,US,EA Sports,SLUS-00264,014633074390,11/30/96,K-A
Angel Blade: Neo Tokyo Guardians,JP,On DiMand,SLPS-00894,4514211000033,07/03/97,
Angel Graffiti: Anata e no Profile,JP,Coconuts Japan,SLPS-00163,4953507951275,07/26/96,
Angelique Duet,JP,Koei,SLPS-01337,4988615010927,07/30/98,
Angelique History,JP,Koei,SLPM-86506 - SLPM-86510,4988615014352,03/30/00,
Angelique Special,JP,Koei,SLPS-00320,4988615007910,03/29/96,
Angelique Special 2,JP,Koei,SLPS-00805,4988615009624,04/11/97,
Angelique Tenkuu no Requiem (Premium Box),JP,Koei,SLPM-86164,4988615012907,02/04/99,
Angolmois 99 (SuperLite 1500 Series),JP,Success,SLPM-86278,4944076000709,08/26/99,
Animal Football,EU,Phoenix Games,SLES-04071,8717249592006,06/27/03,3+
Animal Snap: Rescue Them 2 By 2,EU,Ignition Entertainment,SLES-04036,5060050941321,09/19/03,
Animaniacs Ten Pin Alley,US,ASC Games,SLUS-00784,729627320192,12/01/98,E
Animetic Story Game 1: Card Captor Sakura,JP,Arika,SLPS-01830 - SLPS-01831,4526319000013,08/05/99,
Animorphs: Shattered Reality,US,Infogrames,SLUS-01010,742725174306,09/06/00,E
Ankh: Tutankhamen no Nazo,JP,Ray Corporation,SLPS-01068 - SLPS-01069,4996908970049,11/27/97,
Anna Kournikova's Smash Court Tennis,EU,SCEE,SCES-01833,711719786429,06/18/99,
Anoko Doko Noko,JP,Success,SLPS-01522,4944076000365,08/06/98,
Another Memories,JP,Hearty Robin,SLPS-01431,4907953200050,06/18/98,
Another Mind,JP,SquareSoft,SLPS-01655,4961012987023,11/12/98,
Ao Zora to Nakama Tachi: Yume no Bouken Plus,JP,MTO,SLPS-03564,4536478000533,11/13/03,
Ao no 6-gou: Antarctica,JP,Bandai Visual,SLPS-02940~1,4934569501837,09/28/00,
Aoki Ookami to Shiroki Mejika: Genchou Hishi,JP,Koei,SLPS-01579,4988615010996,09/17/98,
Ape Escape,US,SCEA,SCUS-94423,711719442325,05/31/99,E
Ape Escape Demo CD,US,SCEA,SCUS-94489,Other,1999,E
Apocalypse,US,Activision,SLUS-00373,047875559608,10/31/98,T
Aqua GT,EU,Take-Two Interactive,SLES-03390,5026555190572,01/26/01,
Aqua Paradise: Boku no Suizokukan,JP,Victor Interactive Software,SLPS-03095,4988110020698,12/28/00,
Aqua Prophecy,US,ASCII Entertainment,,,Canceled,
Aquanaut no Kyuujitsu 2,JP,Artdink,SLPS-02141,4988640100372,07/01/99,
Aquanaut no Kyuujitsu: Memories of Summer 1996,JP,Artdink,SLPS-00406,4988640100112,07/19/96,
Aquanaut's Holiday,US,SCEA,SCUS-94603,711719460329,07/26/96,E
Aquarian Age: Tokyo Wars,JP,ESP Software,SLPS-02731,4520923020023,05/25/00,
Arc Arena: Monster Tournament,US,SCEA,NPUJ-01255,PSOne Classics,11/23/10,T
Arc the Lad,US,SCEA,NPUJ-01224,PSOne Classics,10/12/10,E
Arc the Lad Collection,US,Working Designs,SLUS-01224 SLUS-01252-01256,735366012243,04/18/02,T
Arc the Lad II,US,SCEA,NPUJ-01252,PSOne Classics,11/23/10,T
Arc the Lad III,US,SCEA,NPUJ-01253,PSOne Classics,01/04/11,T
Arcade Classic Shuu (SuperLite 3in1 Series),JP,Success,SLPM-86984,4944076002178,01/24/02,
Arcade Hits: Crazy Climber (Major Wave 1500),JP,Hamster,SLPM-87067,4529651000840,05/23/02,
Arcade Hits: Frisky Tom (MajorWave 1500),JP,Hamster,SLPM-87118,4529651000864,07/25/02,
Arcade Hits: Magical Drop,US,MonkeyPaw Games,,PSOne Classics,11/02/11,E
Arcade Hits: Raiden (Major Wave),JP,Hamster,SLPM-86613,4529651000352,11/28/02,
Arcade Party Pak,US,Midway,SLUS-00952,031719268146,09/30/99,T
Archer Maclean's 3D Pool,EU,Ignition Entertainment,SLES-04096,5060050941567,10/17/03,
Are! Mo Kore?  Mo Momotarou,JP,System Sacom,SLPS-00428,4956375112014,10/04/96,
Area 51,US,Midway,SLUS-00164,031763122845,11/26/96,M
Ark of Time,EU,Project Two Interactive,SLES-00748,8714429000047,July 1998,
Arkana Senki Ludo,JP,Pai,SLPS-01438,4511130111338,07/09/98,
Arkanoid Returns,JP,Taito Corporation,SLPS-00948,4988611970089,08/07/97,
Armed Fighter,JP,Banpresto,SLPS-01598,4983164734355,03/04/99,
Armored Core,US,SCEA,SCUS-94182,,10/31/97,T
Armored Core: Master of Arena,US,Agetec,SLUS-01030 - SLUS-01081,093992087401,02/29/00,T
Armored Core: Project Phantasma,US,ASCII Entertainment,SLUS-00670,093992086404,09/30/98,T
Armorines: Project S.W.A.R.M.,US,Acclaim,SLUS-01022,021481211884,05/04/00,T
Army Men 3D,US,3DO,SLUS-00491,790561500452,03/09/99,T
Army Men Arcade Blasts,US,3DO,,,Canceled,
Army Men Gold: Collector's Edition,US,3DO,,790561534310,2002,
Army Men World War: Final Front,US,3DO,SLUS-01327,790561518815,02/27/01,T
Army Men World War: Team Assault,US,3DO,SLUS-01435,790561524113,11/28/01,T
Army Men: Air Attack,US,3DO,SLUS-00913,790561504450,11/02/99,T
Army Men: Air Attack 2,US,3DO,SLUS-01132,790561508618,09/26/00,T
Army Men: Green Rogue,US,3DO,SLUS-01330,790561519119,04/13/01,T
Army Men: Sarge's Heroes,US,3DO,SLUS-00914,790561502654,2000,T
Army Men: Sarge's Heroes 2,US,3DO,SLUS-01202,790561508915,11/21/00,T
Army Men: World War,US,3DO,SLUS-01079,790561505358,02/29/00,T
"Army Men: World War - Land, Sea, Air",US,3DO,SLUS-01203,790561512110,09/20/00,T
Art Camion Geijutsuden,JP,TYO,SLPS-02405,4988927030088,12/16/99,
Art Camion Sugorokuden,US,SCEA,NPUF-30033,PSOne Classics,12/04/12,
Arthur to Astaroth no Nazo-Makai-Mura: Incredible Toons,JP,Capcom,SLPS-00363,4976219153614,08/30/96,
Arthur! Ready to Race,US,The Learning Company,SLUS-01090,772040803223,11/01/00,E
Arthur's Quiz Show,US,The Learning Company,,,Canceled,
